name;new_place_id;review_rating;rating;review_likes;place_id;review_text;review_word_count;cleaned_review;polarity_clean_reviews;subjectivity_clean_reviews;sentiment_clean_reviews
REWE;REWE Lahr - Im Götzmann 4;5;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;Sehr, sehr super...preis ist gut und Sie können alles finden, was Sie wollen;13;sehr sehr super preis gut alles finden;1;0;Sentiment(polarity=1.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;5;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;Immer gefunden was ich gesucht habe. Nettes freundliches Personal. Sehr gute Wurstwaren.;12;immer gefunden gesucht nettes freundliches personal sehr gute wurstwaren;1;0;Sentiment(polarity=1.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;1;4,1;1;ChIJCwWiXCwukUcRGK_wmkEcKRY;Wir waren vor ein paar Tagen abends am Eingang von dem Rewe und wurden nicht mehr reingelassen. Wir waren echt verärgert weil wir uns beeilt haben vor Ladenschluss da zu sein und nur noch eine Kleinigkeit brauchten, jedoch zeigte das unfreundlich Personal keinerlei Verständnis und ließ uns nicht mehr rein obwohl der Laden offiziell noch 10 min geöffnet hatte.;59;paar abends eingang rewe nicht reingelassen echt verärgert beeilt ladenschluss kleinigkeit brauchten zeigte unfreundlich personal keinerlei verständnis ließ nicht rein obwohl laden offiziell min geöffnet;-0,833333333;0;Sentiment(polarity=-0.8333333333333334, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;4;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;"(Übersetzt von Google) Gut

(Original)
Good";6;gut good;1;0;Sentiment(polarity=1.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;3;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;"(Übersetzt von Google) Sehr gut

(Original)
Muito bom";8;sehr gut muito bom;1;0;Sentiment(polarity=1.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;4;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;War wenig los, deshalb schön zum einkaufen.;7;schön einkaufen;1;0;Sentiment(polarity=1.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;5;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;Gut sortiert;2;gut sortiert;1;0;Sentiment(polarity=1.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;5;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;Sehr sauber;2;sehr sauber;0;0;Sentiment(polarity=0.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;2;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;Ich bin regelmäßiger Kunde im Rewe hier in Lahr. Doch seit geraumer Zeit, fällt es mir auf, dass vor allem an der Frischetheke (Metzgerei) enormer Personalmangel herrscht. Zeitweise gibt es enorme Wartezeiten oder es ist nur eine Mitarbeiterin für die ganze Theke verantwortlich. In meinen Augen müsste hier eine Überarbeitung des Konzeptes erfolgen, sonst muss ich wohl zur Konkurrenz ausweichen, denn ich möchte nicht 20 Minuten auf mein Steak oder meine Wurst warten..;73;regelmäßiger kunde rewe lahr geraumer fällt frischetheke metzgerei enormer personalmangel herrscht zeitweise enorme wartezeiten mitarbeiterin theke verantwortlich augen müsste überarbeitung konzeptes erfolgen konkurrenz ausweichen nicht minuten steak wurst warten;0;0;Sentiment(polarity=0.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;3;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;Ganz OK, mehr aber auch nicht. Ist eben nicht der REWE in dem ich selbst arbeite.;16;ok nicht nicht rewe arbeite;0;0;Sentiment(polarity=0.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;3;4,1;1;ChIJCwWiXCwukUcRGK_wmkEcKRY;Ich möchte anmerken das die Freundlichkeit der Mitarbeiter zu den Kunden nachlässt.Ich verstehe das vor Feiertagen und dazu noch Waren einräumen viel Stress ist,aber das ist es für uns Kunden auch und bleibe trotzdem freundlich zu den Mitarbeitern.Ich gehe seit ihrer Eröffnung der Filiale bei ihnen mehrmals in der Woche einkaufen,aber die zunehmende Unfreundlichkeit macht mich traurig.Wenn sich nichts ändert werde ich mir einen anderen Supermarkt suchen müssen und werde diese Empfehlung an Freunden und Bekanntenkreis weitergeben.;77;anmerken freundlichkeit mitarbeiter kunden nachlässt verstehe feiertagen einräumen stress kunden bleibe freundlich mitarbeitern gehe eröffnung filiale mehrmals woche einkaufen zunehmende unfreundlichkeit traurig ändert supermarkt suchen empfehlung freunden bekanntenkreis weitergeben;0,233333333;0;Sentiment(polarity=0.2333333333333333, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;5;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;Super!!!!!!!;1;super;0;0;Sentiment(polarity=0.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;5;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;Ein Rewe halt.;3;rewe halt;0;0;Sentiment(polarity=0.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;4;4,1;1;ChIJCwWiXCwukUcRGK_wmkEcKRY;Geöffnet bis 22 Uhr!!;4;geöffnet;0;0;Sentiment(polarity=0.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;5;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;"(Übersetzt von Google) Toller Shop und Qualität zum Preis.

(Original)
Great Shop and quality for price.";16;toller shop qualität preis great shop and quality for price;1;0;Sentiment(polarity=1.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;5;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;Ich geh dort jeden Tag einkaufen und das nur wegen einer Mitarbeiterin. Bildhübsch😊;13;geh einkaufen mitarbeiterin bildhübsch;1;0;Sentiment(polarity=1.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;5;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;👍;1;;0;0;Sentiment(polarity=0.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;4;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;Rewe halt- Supermarkt;3;rewe halt supermarkt;0;0;Sentiment(polarity=0.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;5;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;Gut wars;2;gut wars;1;0;Sentiment(polarity=1.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;3;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;"Schlecht zu finden und enge Straße.
Sonst wie gewohnt gute Qualität 👍";12;schlecht finden enge straße gewohnt gute qualität;0,333333333;0;Sentiment(polarity=0.3333333333333333, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;5;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;Wie immer sehr gutes Obst und Gemüse zu günstigen Preisen,sehr freundliches Personal  auf bald;14;immer sehr gutes obst gemüse günstigen preisen sehr freundliches personal;1;0;Sentiment(polarity=1.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;5;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;Ich größer Fan der Fleisch Theke - top;8;größer fan fleisch theke top;1;0;Sentiment(polarity=1.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;1;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;Verdreckt, unordentlich, vermüllt. ( siehe Fotos ) Leider fallen mir keine anderen Begriffe hierzu ein. Ich war froh als ich von dort weg war.;24;verdreckt unordentlich vermüllt siehe fotos fallen keine begriffe hierzu froh weg;0;0;Sentiment(polarity=0.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;4;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;Kann man nicht meckern;4;nicht meckern;0,5;0;Sentiment(polarity=0.5, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;5;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;Tolle Laden von Rewe, leider mir bissel weit weg,näher wäre gut;11;tolle laden rewe bissel weg näher gut;1;0;Sentiment(polarity=1.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;5;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;Freundliches Personal. Man nimmt sich Zeit bei Fragen. Selbst wenn gerade eine inventur läuft.;14;freundliches personal nimmt fragen inventur läuft;1;0;Sentiment(polarity=1.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;5;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;Sehr gut;2;sehr gut;1;0;Sentiment(polarity=1.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;5;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;👍;1;;0;0;Sentiment(polarity=0.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;5;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;"(Übersetzt von Google) Qualitätsprodukte

(Original)
Produse de calitate";8;qualitätsprodukte produse calitate;0;0;Sentiment(polarity=0.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;4;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;Das, was ich wollte und brauchte, war da. Gänge nicht komplett verstellt, damir Abstnad mögluch ist;16;brauchte gänge nicht komplett verstellt damir abstnad mögluch;0;0;Sentiment(polarity=0.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;5;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;Sehr schönes gutsortiertes,,sauberes Ladengeschäft, Mitarbeiter u Marktleiter sehr freundlich, hilfsbereit und auch  Sonderanfragen sind kein Problem.ich fühlte mich als Kundin, willkommen und werde gerne wieder kommen;26;sehr schönes gutsortiertes sauberes ladengeschäft mitarbeiter marktleiter sehr freundlich hilfsbereit sonderanfragen problem fühlte kundin willkommen gerne;1;0;Sentiment(polarity=1.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;5;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;Sehr gute Angebote und viel Auswahl. Und nette Kassierer;9;sehr gute angebote auswahl nette kassierer;1;0;Sentiment(polarity=1.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;5;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;"(Übersetzt von Google) Super

(Original)
Super";6;super super;0;0;Sentiment(polarity=0.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;5;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;👍😉;1;;0;0;Sentiment(polarity=0.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;5;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;Alles OK;2;alles ok;0;0;Sentiment(polarity=0.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;1;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;Respektlos! Man muss seine taschen abstellen da wo sie jeder nehmen kann 0/10 respektlose mitarbeiterin die an der kasse;19;respektlos taschen abstellen nehmen respektlose mitarbeiterin kasse;-1;0;Sentiment(polarity=-1.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;3;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;Obst und Gemüse nicht so schön heute;7;obst gemüse nicht schön;-0,5;0;Sentiment(polarity=-0.5, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;5;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;Schöner als der REWE in der Innenstadt;7;schöner rewe innenstadt;1;0;Sentiment(polarity=1.0, subjectivity=0.0)
REWE;REWE Lahr - Im Götzmann 4;5;4,1;0;ChIJCwWiXCwukUcRGK_wmkEcKRY;"(Übersetzt von Google) Kleiner Laden, aber sehr freundlich

(Original)
Petit magasin mais très sympathique";14;laden sehr freundlich petit magasin mais sympathique;1;0;Sentiment(polarity=1.0, subjectivity=0.0)
