,Review_year,Review_month,Review_day,Name,new_place_id,review_rating,rating,review_likes,place_id,review_word_count,review_datetime_utc,review_text,cleaned_review,polarity_clean_reviews,polarity_reviews,polarity,preis,service,innendesign,produkte
0,2022,6,7,Rewe,Rewe Lahr - Im Götzmann 4,5,4.1,0,ChIJCwWiXCwukUcRGK_wmkEcKRY,13,2022-06-07,"Sehr, sehr super...preis ist gut und Sie können alles finden, was Sie wollen",sehr sehr super preis gut alles finden,1.0,1.0,1.0,1,0,0,1
1,2022,6,3,Rewe,Rewe Lahr - Im Götzmann 4,5,4.1,0,ChIJCwWiXCwukUcRGK_wmkEcKRY,12,2022-06-03,Immer gefunden was ich gesucht habe. Nettes freundliches Personal. Sehr gute Wurstwaren.,immer gefunden gesucht nettes freundliches personal sehr gute wurstwaren,1.0,0.6666666666666666,1.0,0,1,0,1
2,2022,5,29,Rewe,Rewe Lahr - Im Götzmann 4,1,4.1,1,ChIJCwWiXCwukUcRGK_wmkEcKRY,59,2022-05-29,"Wir waren vor ein paar Tagen abends am Eingang von dem Rewe und wurden nicht mehr reingelassen. Wir waren echt verärgert weil wir uns beeilt haben vor Ladenschluss da zu sein und nur noch eine Kleinigkeit brauchten, jedoch zeigte das unfreundlich Personal keinerlei Verständnis und ließ uns nicht mehr rein obwohl der Laden offiziell noch 10 min geöffnet hatte.",paar abends eingang rewe nicht reingelassen echt verärgert beeilt ladenschluss kleinigkeit brauchten zeigte unfreundlich personal keinerlei verständnis ließ nicht rein obwohl laden offiziell min geöffnet,-0.8333333333333334,-0.375,-0.8333333333333334,0,1,1,0
3,2022,5,25,Rewe,Rewe Lahr - Im Götzmann 4,4,4.1,0,ChIJCwWiXCwukUcRGK_wmkEcKRY,6,2022-05-25,"(Übersetzt von Google) Gut

(Original)
Good",gut good,1.0,1.0,1.0,0,0,0,0
4,2022,5,23,Rewe,Rewe Lahr - Im Götzmann 4,3,4.1,0,ChIJCwWiXCwukUcRGK_wmkEcKRY,8,2022-05-23,"(Übersetzt von Google) Sehr gut

(Original)
Muito bom",sehr gut muito bom,1.0,1.0,1.0,0,0,0,0
5,2022,5,20,Rewe,Rewe Lahr - Im Götzmann 4,4,4.1,0,ChIJCwWiXCwukUcRGK_wmkEcKRY,7,2022-05-20,"War wenig los, deshalb schön zum einkaufen.",schön einkaufen,1.0,0.5,1.0,0,0,1,0
6,2022,5,16,Rewe,Rewe Lahr - Im Götzmann 4,5,4.1,0,ChIJCwWiXCwukUcRGK_wmkEcKRY,2,2022-05-16,Gut sortiert,gut sortiert,1.0,1.0,1.0,0,0,1,0
7,2022,5,12,Rewe,Rewe Lahr - Im Götzmann 4,5,4.1,0,ChIJCwWiXCwukUcRGK_wmkEcKRY,2,2022-05-12,Sehr sauber,sehr sauber,0.0,0.0,0.0,0,0,1,0
8,2022,5,10,Rewe,Rewe Lahr - Im Götzmann 4,2,4.1,0,ChIJCwWiXCwukUcRGK_wmkEcKRY,73,2022-05-10,"Ich bin regelmäßiger Kunde im Rewe hier in Lahr. Doch seit geraumer Zeit, fällt es mir auf, dass vor allem an der Frischetheke (Metzgerei) enormer Personalmangel herrscht. Zeitweise gibt es enorme Wartezeiten oder es ist nur eine Mitarbeiterin für die ganze Theke verantwortlich. In meinen Augen müsste hier eine Überarbeitung des Konzeptes erfolgen, sonst muss ich wohl zur Konkurrenz ausweichen, denn ich möchte nicht 20 Minuten auf mein Steak oder meine Wurst warten..",regelmäßiger kunde rewe lahr geraumer fällt frischetheke metzgerei enormer personalmangel herrscht zeitweise enorme wartezeiten mitarbeiterin theke verantwortlich augen müsste überarbeitung konzeptes erfolgen konkurrenz ausweichen nicht minuten steak wurst warten,0.0,0.25,0.0,0,1,0,1
9,2022,4,30,Rewe,Rewe Lahr - Im Götzmann 4,3,4.1,0,ChIJCwWiXCwukUcRGK_wmkEcKRY,16,2022-04-30,"Ganz OK, mehr aber auch nicht. Ist eben nicht der REWE in dem ich selbst arbeite.",ok nicht nicht rewe arbeite,0.0,0.0,0.0,0,0,0,0
10,2022,4,16,Rewe,Rewe Lahr - Im Götzmann 4,3,4.1,1,ChIJCwWiXCwukUcRGK_wmkEcKRY,77,2022-04-16,"Ich möchte anmerken das die Freundlichkeit der Mitarbeiter zu den Kunden nachlässt.Ich verstehe das vor Feiertagen und dazu noch Waren einräumen viel Stress ist,aber das ist es für uns Kunden auch und bleibe trotzdem freundlich zu den Mitarbeitern.Ich gehe seit ihrer Eröffnung der Filiale bei ihnen mehrmals in der Woche einkaufen,aber die zunehmende Unfreundlichkeit macht mich traurig.Wenn sich nichts ändert werde ich mir einen anderen Supermarkt suchen müssen und werde diese Empfehlung an Freunden und Bekanntenkreis weitergeben.",anmerken freundlichkeit mitarbeiter kunden nachlässt verstehe feiertagen einräumen stress kunden bleibe freundlich mitarbeitern gehe eröffnung filiale mehrmals woche einkaufen zunehmende unfreundlichkeit traurig ändert supermarkt suchen empfehlung freunden bekanntenkreis weitergeben,0.2333333333333333,0.675,0.2333333333333333,0,1,1,0
11,2022,4,4,Rewe,Rewe Lahr - Im Götzmann 4,5,4.1,0,ChIJCwWiXCwukUcRGK_wmkEcKRY,1,2022-04-04,Super!!!!!!!,super,0.0,0.5,0.0,0,0,0,0
12,2022,3,30,Rewe,Rewe Lahr - Im Götzmann 4,5,4.1,0,ChIJCwWiXCwukUcRGK_wmkEcKRY,3,2022-03-30,Ein Rewe halt.,rewe halt,0.0,0.0,0.0,0,0,0,0
13,2022,3,24,Rewe,Rewe Lahr - Im Götzmann 4,4,4.1,1,ChIJCwWiXCwukUcRGK_wmkEcKRY,4,2022-03-24,Geöffnet bis 22 Uhr!!,geöffnet,0.0,0.0,0.0,0,0,0,0
14,2022,3,3,Rewe,Rewe Lahr - Im Götzmann 4,5,4.1,0,ChIJCwWiXCwukUcRGK_wmkEcKRY,16,2022-03-03,"(Übersetzt von Google) Toller Shop und Qualität zum Preis.

(Original)
Great Shop and quality for price.",toller shop qualität preis great shop and quality for price,1.0,0.0,1.0,1,0,0,1
15,2022,3,3,Rewe,Rewe Lahr - Im Götzmann 4,5,4.1,0,ChIJCwWiXCwukUcRGK_wmkEcKRY,13,2022-03-03,Ich geh dort jeden Tag einkaufen und das nur wegen einer Mitarbeiterin. Bildhübsch😊,geh einkaufen mitarbeiterin bildhübsch,1.0,0.0,1.0,0,1,0,0
16,2022,3,2,Rewe,Rewe Lahr - Im Götzmann 4,5,4.1,0,ChIJCwWiXCwukUcRGK_wmkEcKRY,1,2022-03-02,👍,nan,0.0,0.0,0.0,0,0,0,0
17,2022,2,10,Rewe,Rewe Lahr - Im Götzmann 4,4,4.1,0,ChIJCwWiXCwukUcRGK_wmkEcKRY,3,2022-02-10,Rewe halt- Supermarkt,rewe halt supermarkt,0.0,0.0,0.0,0,0,1,0
18,2022,1,19,Rewe,Rewe Lahr - Im Götzmann 4,5,4.1,0,ChIJCwWiXCwukUcRGK_wmkEcKRY,2,2022-01-19,Gut wars,gut wars,1.0,1.0,1.0,0,0,0,0
19,2022,1,18,Rewe,Rewe Lahr - Im Götzmann 4,3,4.1,0,ChIJCwWiXCwukUcRGK_wmkEcKRY,12,2022-01-18,"Schlecht zu finden und enge Straße.
Sonst wie gewohnt gute Qualität 👍",schlecht finden enge straße gewohnt gute qualität,0.3333333333333333,0.5,0.3333333333333333,0,0,0,1
